fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0.24778761061946908,0.3972602739726027,0.0,0.0684931506849315,0.10684474123539232,0.14084507042253522,0.0989399293286219,0.5675477239353881,0.6062992125984251,0.13772455089820362,0.15384615384615385,0
1,0.4825012721207666,0.5205479452054794,0.0,0.16404793608521973,0.14357262103505844,0.3459427675421403,0.23157083623821229,0.984202402798074,0.7620237351655217,0.2911897106109325,0.6541471048513302,0
2,0.4825012721207666,0.4383561643835617,0.04,0.14460719041278294,0.13355592654424042,0.206781654253234,0.18657273205396346,0.9846609687545885,0.7796516066347422,0.27508038585209005,0.6541471048513302,0
3,0.6997229603663707,0.10958904109589043,0.56,0.11868619618286728,0.10517529215358933,0.23461387691101526,0.20734108783130906,0.9869537985371613,0.7502718208527079,0.23749196141479098,0.6541471048513302,0
4,0.4569457793859897,0.40152785541270725,0.0,0.11868619618286728,0.10684474123539232,0.15111720893767147,0.11734487946281141,0.9864952325806468,0.8531010710898281,0.22675241157556272,0.6270213875847679,0
5,0.4569457793859897,0.3743245761132849,0.0,0.11220594762538837,0.10517529215358933,0.17894943159545273,0.13811323524015703,0.9864952325806468,0.8531010710898281,0.22675241157556272,0.6270213875847679,0
6,0.4888901453044609,0.3335196571641513,0.06,0.09924545051043054,0.09515859766277131,0.206781654253234,0.20387969520175148,0.9832852708850448,0.791403520947556,0.17305466237942121,0.6270213875847679,0
7,0.45055690620229544,0.3675237562884293,0.0,0.07332445628051486,0.08848080133555927,0.206781654253234,0.07234677527856259,0.9791581772764141,0.817845328151387,0.17842443729903534,0.6677099634846113,1
8,0.4825012721207666,0.31991801751444005,0.02,0.1251664447403462,0.1018363939899833,0.12328498627989022,0.062048935173324216,0.984202402798074,0.8090313924167766,0.23212218649517682,0.6338028169014085,1
9,0.4633346525696839,0.2655114589155953,0.36,0.3908566355969818,0.09849749582637729,0.23480086715842,0.35280222168515235,0.9864952325806468,0.8060934138385732,0.35562700964630223,0.7016171100678142,0
10,0.41222366710013,0.31991801751444005,0.08,0.11220594762538837,0.1419031719532554,0.20697544414599892,0.22474704629665307,0.9821388559937585,0.7855275637911491,0.2160128617363344,0.6134585289514867,0
11,0.4633346525696839,0.2655114589155953,0.36,0.3908566355969818,0.09849749582637729,0.23480086715842,0.35280222168515235,0.9864952325806468,0.8060934138385732,0.35562700964630223,0.7016171100678142,0
12,0.34194606207949335,0.34372088690143465,0.0,0.09924545051043054,0.1285475792988314,0.22088815565220948,0.20398134217959912,0.978470328341642,0.8736669211372523,0.20527331189710613,0.6609285341679708,0
13,0.4825012721207666,0.34032047698900686,0.29,0.09924545051043054,0.17028380634390652,0.12349917510873566,0.10015282159432945,0.9855781006676175,0.7796516066347422,0.7637299035369776,0.6066770996348461,0
14,0.5527788771414033,0.3471212968138625,0.18,0.24181091877496672,0.27378964941569284,0.721745769875789,0.5016231011907055,0.988329496406705,0.7502718208527079,0.3985852090032155,0.6134585289514867,0
15,0.5527788771414033,0.3471212968138625,0.19,0.24829116733244563,0.2637729549248748,0.7078330583695784,0.5120059532492325,0.988329496406705,0.7532097994309113,0.4254340836012862,0.6134585289514867,0
16,0.5272233844066263,0.11589342276877213,0.56,0.11220594762538837,0.13355592654424042,0.4852296742702098,0.356263172371328,0.9844316857763312,0.791403520947556,0.3287781350482315,0.7016171100678142,1
17,0.5016678916718493,0.30631637786472893,0.28,0.10572569906790945,0.5943238731218697,0.22088815565220948,0.19359849012107216,0.984202402798074,0.7355819279616906,0.6133762057877813,0.6202399582681273,0
18,0.4569457793859897,0.3267188373392957,0.08,0.28069241011984025,0.12353923205342236,0.08176104059010401,0.10015282159432945,0.9855781006676175,0.8149073495731834,0.1945337620578778,0.5998956703182056,0
19,0.4888901453044609,0.1430967020681945,0.51,0.11220594762538837,0.5492487479131887,0.23524267563000842,0.19359849012107216,0.9844316857763312,0.7150160779142666,0.5059807073954984,0.6134585289514867,0
20,0.5527788771414033,0.07508850381963851,0.48,0.11220594762538837,0.10851419031719534,0.40209881912891565,0.20744229286577479,0.984202402798074,0.817845328151387,0.21064308681672025,0.6270213875847679,0
21,0.4697235257533781,0.2092558246645355,0.31,0.14460719041278294,0.11686143572621034,0.31867074737946205,0.245512750413707,0.9874123644936758,0.8560390496680316,0.27508038585209005,0.6473656755346896,0
22,0.4888901453044609,0.23583546081026538,0.21,0.09924545051043054,0.15692821368948248,0.13790992525564585,0.1278404270837347,0.9837438368415595,0.7532097994309113,0.41469453376205795,0.6338028169014085,0
23,0.5272233844066263,0.27570491502886024,0.11,0.14460719041278294,0.12020033388981638,0.12400524663073692,0.23166894766900437,0.984202402798074,0.7532097994309113,0.21064308681672025,0.6270213875847679,0
24,0.4250014134675185,0.21590073370096796,0.14,0.1510874389702619,0.12186978297161939,0.2908613901296442,0.13822327914226165,0.984202402798074,0.8295972424642007,0.26434083601286174,0.6473656755346896,0
25,0.386668174365353,0.2092558246645355,0.16,0.0862849533954727,0.11352253756260436,0.1518146038805548,0.0793871174772755,0.9812217240807295,0.8031554352603697,0.22675241157556272,0.6202399582681273,0
26,0.4697235257533781,0.2225456427374004,0.24,0.11220594762538837,0.11352253756260436,0.054481853506192224,0.03785570924316763,0.9828267049285303,0.7855275637911491,0.2428617363344051,0.6338028169014085,0
27,0.4888901453044609,0.23583546081026538,0.21,0.09924545051043054,0.15692821368948248,0.13823679921580342,0.1279134482528103,0.9837438368415595,0.7532097994309113,0.41469453376205795,0.6338028169014085,0
28,0.43777915983490695,0.42189291383037464,0.0,0.11868619618286728,0.11352253756260436,0.19383442507284837,0.12099212641354691,0.985119534711103,0.8413491567770145,0.22138263665594857,0.6270213875847679,0
29,0.4825012721207666,0.3787010050935636,0.0,0.1251664447403462,0.11686143572621034,0.11043798628728098,0.055239568940544506,0.9832852708850448,0.8149073495731834,0.2428617363344051,0.6541471048513302,0
30,0.41222366710013,0.398635732202861,0.07,0.1510874389702619,0.1285475792988314,0.23553264446563207,0.2836431896362371,0.9819095730155013,0.8060934138385732,0.2160128617363344,0.6744913928012519,0
31,0.4250014134675185,0.4052806412392935,0.0,0.1575676875277408,0.15525876460767948,0.30502967678693826,0.1279134482528103,0.9837438368415595,0.838411178198811,0.23212218649517682,0.7083985393844549,0
32,0.5144456380392379,0.3853459141299961,0.12,0.14460719041278294,0.11853088480801337,0.20773383153710961,0.39092367814481993,0.9837438368415595,0.7532097994309113,0.2804501607717042,0.6541471048513302,0
33,0.4250014134675185,0.3521213689478337,0.12,0.6889480692410119,0.1018363939899833,0.5552189931436405,0.2871038505558688,0.9899344772545057,0.8354731996206076,0.20527331189710613,0.6270213875847679,0
34,0.31639056934471643,0.16274146140950815,0.25,0.11220594762538837,0.1519198664440735,0.17993501860858713,0.17290204020802247,0.981680290037244,0.8149073495731834,0.22138263665594857,0.6134585289514867,0
35,0.4825012721207666,0.3787010050935636,0.0,0.3519751442521083,0.12353923205342236,0.06873976689449728,0.062160890779807916,0.988329496406705,0.8207833067295903,0.22138263665594857,0.640584246218049,0
36,0.4825012721207666,0.3487989144296174,0.14,0.1510874389702619,0.12353923205342236,0.040940953965974795,0.051778908020912805,0.985807383645875,0.8266592638859972,0.24823151125401927,0.7219613980177361,0
37,0.5016678916718493,0.20261091562810302,0.28,0.13164669329782513,0.09015025041736228,0.18008933437753524,0.10368882181538838,0.984202402798074,0.7708376709001319,0.3180385852090032,0.6473656755346896,1
38,0.3483349352631876,0.7009790933605385,0.09,0.09276520195295161,0.2671118530884808,0.09670858872101343,0.06562155169943962,0.9777824794068706,0.8501630925116247,0.1837942122186495,0.6541471048513302,0
39,0.45055690620229544,0.24912527888313035,0.36,0.377896138482024,0.10350584307178634,0.1661925434347816,0.30094649423439557,0.9864952325806468,0.8002174566821664,0.3717363344051447,0.7016171100678142,0
